Title,Genre,Tags,Languages,Country Availability,Runtime,Director,Writer,Actors,View Rating,IMDb Score,Awards Received,Awards Nominated For,Boxoffice,Release Date,Netflix Release Date,Production House,Netflix Link,Summary,Series or Movie,IMDb Votes,Image
The Midnight Gospel,"Animation, Adventure, Comedy, Fantasy, Sci-Fi","US TV Shows,TV Comedies",English,"Belgium,Turkey,Spain,United Kingdom,Italy,Thailand,South Africa,France,Mexico,Switzerland,Singapore,Romania,Israel,United States,Czech Republic,Iceland,Portugal,Australia,Netherlands,South Korea,Poland,Japan,Russia,Hong Kong,Sweden,Germany,Hungary,Slovakia,India,Lithuania,Greece,Canada,Brazil,Argentina,Malaysia,Colombia",< 30 minutes,,Duncan Trussell,"Duncan Trussell, Phil Hendrie, Doug Lussenhop, Joey Diaz",TV-MA,8.3,,,,20-Apr-20,20-04-2020,,https://www.netflix.com/watch/80987903,"Traversing trippy worlds inside his universe simulator, a space caster explores existential questions about life, death and everything in between.",Series,11873,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQjB3ktCy_0HM4ZzjjYiWuFKg0DI1PYdYsN-YQwV862i5je5L5Si1E2GFGAJ2dCo7XpeJud00kz3UkIXlNZ9VC4smIfcOqE6PpQLeltogGU5m1-TFeQE8-pn9YA.jpg?r=05d
Cooked with Cannabis,Reality-TV,"Reality TV,US TV Shows,Food & Travel TV,Competition Reality TV,Reality, Variety & Talk Shows,Variety Entertainment",English,"Belgium,Turkey,United Kingdom,South Africa,Italy,Spain,France,Mexico,Switzerland,Romania,United States,Israel,Czech Republic,Iceland,Australia,Portugal,Japan,Russia,South Korea,Hong Kong,Poland,Sweden,Netherlands,Hungary,India,Germany,Slovakia,Lithuania,Greece,Canada,Brazil,Argentina,Thailand,Malaysia,Colombia",< 30 minutes,,,"Leather Storrs, Kelis",TV-MA,6.6,,,,20-Apr-20,20-04-2020,,https://www.netflix.com/watch/81032347,"Chefs compete to get the hosts and special guests high on elevated cannabis cuisine with their artful use of leafy herb, THC infusions and CBD sauces.",Series,246,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABYiNCEATAzG4BskgSLcTaQYZwfwPpPnKtYBV0mcPL_InDpRynX3kd-OnsKv3UMkMUJ32aNGGIltuyFRTOeDWKjboavgztRaI7r-2vY7SpXkWUuqpnsaFYX68rbY.jpg?r=f59
The Last Dance,"Documentary, Biography, History, Sport","Sports Documentaries,US TV Shows,Social & Cultural Docs,Docuseries,Sports & Fitness",English,"Portugal,Slovakia,Lithuania,India,Belgium,Turkey,Spain,United Kingdom,Thailand,South Africa,France,Mexico,Switzerland,Singapore,Romania,Czech Republic,Iceland,Australia,Japan,Sweden,Russia,Poland,Germany,Hungary,Canada,Argentina,South Korea,United States,Greece,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia",< 30 minutes,,,"Phil Jackson, David Aldridge, Michael Jordan, Scottie Pippen",TV-MA,9.2,6,4,,19-Apr-20,20-04-2020,,https://www.netflix.com/watch/80203144,"This docuseries gives a definitive account of Michael Jordan’s career and the 1990s Chicago Bulls, packed with unaired footage from the 1997-98 season.",Series,79011,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSdkQPVipxtGuSio9-dUq5cHyGgq8x_dIexoedmuZ5hmdxF16WfgZIq8HSwyrkXQ1lsCrg2zjMhAltzM9hIEeHxK_p93Sh1HWKEyeLMcPX2DDDnZnFWJgaccchRaEMMS1AKCEZHFGrY9dpdDnBgB8MfMyoQus8ucU32oLy0.jpg?r=2c9
Varane Avashyamund,"Drama, Family, Romance","Romantic Dramas,Romantic Comedies,Romantic Movies,Comedies,Indian Movies,Dramas,Malayalam-Language Movies,International Comedies,International Dramas",Malayalam,"Thailand,Switzerland,South Africa,Australia,Singapore,Japan,Russia,Hong Kong,Poland,Sweden,India,Hungary,Slovakia,Germany,Lithuania,Turkey,United Kingdom,Mexico,Romania,Canada,Argentina,Portugal,Czech Republic,Belgium,Spain,United States,Greece,Malaysia,Brazil,Netherlands,Italy,Iceland,Israel,Colombia",> 2 hrs,Anoop Sathyan,Anoop Sathyan,"Dulquer Salmaan, Shobana, Kalyani Priyadarshan, Suresh Gopi",,6.9,,,,14-Feb-20,19-04-2020,,https://www.netflix.com/watch/81273582,"At an apartment complex, the lives of a mother, a daughter seeking an arranged marriage, a military retiree and a young man become intertwined.",Movie,1909,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABUQZoselj6ADE9hmUI6RhQhEzM3SSt82bFf7oGHGGL-T_D8DBXfjQStiAIT_YIyd4aRm992_AXIwwz7jZAwoX4B1zw.jpg?r=6ec
The King: Eternal Monarch,"Fantasy, Mystery, Romance","Korean TV Shows,Romantic Fantasy TV,TV Dramas,Romantic TV Dramas,Fantasy TV Shows,Crime TV Dramas",Korean,"South Africa,Iceland,Mexico,Singapore,Australia,South Korea,Thailand,Japan,Russia,Hong Kong,India,Lithuania,United Kingdom,Argentina,Canada,Belgium,Switzerland,Germany,Sweden,Spain,Czech Republic,Greece,Slovakia,Hungary,France,Portugal,Poland,United States,Turkey,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia,Romania",< 30 minutes,,,"Kim Kyung-Nam, Lee Min-Ho, Woo Do-Hwan, Kim Go-eun",TV-14,8.2,,,,17-Apr-20,17-04-2020,,https://www.netflix.com/watch/81260283,"A modern-day Korean emperor passes through a mysterious portal and into a parallel world, where he encounters a feisty police detective.",Series,6272,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABa7UVI2GPplZa2KggvEU5SgNMqnc_R1QZnB94K4pcmZj6iTKvr5_YfMfiwWE60MqHX5-jVWvtZItSHfZBz1gSRFNTWFtyrVYF_D1js6pPRAJ7JjH_-gYZi4BEbFQYHJZ1YWGgU5u4WjMnzjRX_sjZRLHgSNili7E0sFTbpk.jpg?r=630
The Twelve,"Drama, Thriller","Crime TV Dramas,TV Dramas",Dutch,"Turkey,Slovakia,Lithuania,Japan,Germany,Argentina,South Korea,Hungary,Hong Kong,Sweden,Czech Republic,United States,Canada,Singapore,Greece,Thailand,Belgium,Malaysia,Brazil,Netherlands,Italy,South Africa,Iceland,Israel,India,Mexico,Colombia,Romania",< 30 minutes,,"Sanne Nuyens, Bert Van Dael","Luc De Ruelle, Tom Vermeir, Peter Gorissen, Maaike Neuville",TV-MA,7.5,6,5,,03-Nov-19,17-04-2020,,https://www.netflix.com/watch/81218903,Twelve jurors — ordinary people with struggles of their own — must decide the case of a woman accused of killing her best friend and her own daughter.,Series,3806,https://occ-0-768-769.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABR558x9DjQkDo3G-SPbuaelRTi-jbLXl6XDliPTEzWWFQ6k_NE0vhjO7cnKN--_UKMV7Mh6O-DyUM-JxVh8uU_OIDsmGRuMUmqdC4_A3WAIHpIA-JmTvpbWcHQk.jpg?r=ac5
The Sun Is Also a Star,"Drama, Music, Romance","Romantic Dramas,Romantic Movies,Dramas,Movies Based on Books","English, Korean",United Kingdom,1-2 hour,Ry Russo-Young,"Nicola Yoon, Tracy Oliver","Charles Melton, John Leguizamo, Anais Lee, Yara Shahidi",PG-13,5.9,,2,"$49,50,029",17-May-19,17-04-2020,Alloy Entertainment,https://www.netflix.com/watch/81037745,"Sparks fly between romantic Daniel and science-minded Natasha, high schoolers who have hours to fall in love before shes forced to leave the country.",Movie,6204,https://occ-0-1091-300.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABWfNwAC2CjW9uzYrythV9srMMCqQ51KT7ml69UXZe2DzNEblOd2IXMynuTJbFTvGF0LiOKEeRPBqajUE-kWWG3LIFQ.jpg?r=9c6
Sergio,"Biography, Drama, History, Romance","Political Dramas,Movies Based on Books,Independent Movies,Movies Based on Real Life,Dramas","English, Portuguese, Spanish, French","Slovakia,Singapore,Lithuania,South Africa,India,Portugal,Thailand,Mexico,Spain,Belgium,Switzerland,United Kingdom,Turkey,Greece,Israel,France,United States,Italy,Romania,Iceland,Czech Republic,Australia,South Korea,Japan,Russia,Hong Kong,Poland,Netherlands,Sweden,Hungary,Germany,Canada,Brazil,Argentina,Malaysia,Colombia",1-2 hour,Greg Barker,"Craig Borten, Samantha Power","Wagner Moura, Brían F. O'Byrne, Ana de Armas, Bradley Whitford",R,6.1,1,1,,17-Apr-20,17-04-2020,,https://www.netflix.com/watch/80191526,"Passions, ideals and bitter realities collide as charismatic UN diplomat Sergio Vieira de Mello becomes trapped in a life-threatening situation in Iraq.",Movie,8217,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQsIP8UAPmj1mP7ToKa4kG4d5tQhJLeS6zXl6g0nth_NYD6B6OJ6QjDrmyyaqNb1Ilzf_ebRHP177UM8WMMBLTk7qstd85va06ultghu2PnRAh36H1MBBoAdXrk.jpg?r=99d
blackAF,Comedy,"US TV Shows,Sitcoms,TV Comedies",,"Slovakia,South Africa,India,Lithuania,Singapore,Thailand,Mexico,Portugal,Spain,United Kingdom,Belgium,Switzerland,Turkey,Greece,France,Israel,Italy,United States,Romania,Iceland,Czech Republic,Australia,South Korea,Netherlands,Russia,Japan,Poland,Sweden,Hong Kong,Hungary,Germany,Canada,Brazil,Argentina,Malaysia,Colombia",< 30 minutes,,Kenya Barris,"Genneya Walton, Kenya Barris, Rashida Jones, Iman Benson",TV-MA,6.8,,5,,17-Apr-20,17-04-2020,,https://www.netflix.com/watch/81056700,"Kenya Barris and his family navigate relationships, race and culture while grappling with their newfound success in this comedy series.",Series,3841,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSRnhv-4Khg-QYPKScrZr_nJamLxOTCWbgzqBwZKQA795vaE0jf42UCf-o_6TbV7MKgTnPVshiMMfAUROUS59SlcTZ1yMbg1NEqHXGROtwb3dsFpnwO7fiubfM4.jpg?r=906
Appare-Ranman!,"Animation, Adventure","Action Anime,Anime Series,Historical Anime",Japanese,Japan,< 30 minutes,,,"Kellen Goff, Ace Anderson",TV-14,6.9,,1,,01-Apr-20,17-04-2020,,https://www.netflix.com/watch/81263947,"Marooned in turn-of-the-century America, an awkward engineer and a timid samurai enter a transcontinental steam car race to earn the cash to get home.",Series,206,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSsTqa27lOf-Z2LYYB5idzVx16UUtSnAVlt6IajonCrSuD1TK9c6T0jmsPj5FyAou_2ig1LRsGbJ2lw-5naBYI5np9AyBPuTTr8HtQoV2QDuGjnvMs5W5T8BJsSPvTxfnb7XH_c53ns.jpg?r=6bf
Febbre da cavallo,Comedy,"Comedies,Italian Movies,Italian Comedies",Italian,Italy,1-2 hour,Steno,"Massimo Patrizi, Steno, Alfredo Giannetti, Enrico Vanzina","Enrico Montesano, Catherine Spaak, Gigi Proietti, Mario Carotenuto",,7.2,,,,29-Oct-76,16-04-2020,,https://www.netflix.com/watch/81237782,"Addicted to betting on horse racing, a hapless trio of gamblers schemes their way out of debt to pay off their losses from the track.",Movie,1721,https://occ-0-784-778.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABaQbF7EU8mMb_rWAiQ2IOe62S7netac3RjoO2Mg0cYeC7eJXLrGPegLERYaMbjJchlGeVmwtVsXdsV0Cixcq2MMewA.jpg?r=179
Ryna,Drama,"Dramas,Social Issue Dramas","French, Romanian",Romania,1-2 hour,Ruxandra Zenide,"Ruxandra Zenide, Andreea Valean, Marek Epstein","Nicolae Praida, Matthieu Rozé, Valentin Popescu, Dorotheea Petre",NotRated,7,15,14,,24-Nov-06,16-04-2020,,https://www.netflix.com/watch/70050877,"After years of pleasing her father by dressing like the son he always wanted, 16-year-old Ryna secretly longs to look like a girl. After all, shes already begun to attract men.",Movie,460,https://occ-0-3467-3466.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQciYEAlV1gLlCRfj25WnWLlQMJ6fsze_m-W4QRsA-xOJEZzKvEwwUV7WxloU06Xs4aoyjLisrftvJQ5rAr1lUhPTg.jpg?r=60c
The Way I Spent the End of the World,Drama,Dramas,Romanian,Romania,1-2 hour,Cãtãlin Mitulescu,"Veronick Codolban Kazansky, Andreea Valean, Cãtãlin Mitulescu","Timotei Duma, Sergiu Anghel, Ioan Albu, Dorotheea Petre",NotRated,7.2,7,7,,30-Aug-06,16-04-2020,Les Films Pelleas,https://www.netflix.com/watch/70083949,"In 1989 Romania, plucky 17-year-old Eva Matei comes of age as she schemes to escape the countrys tyranny with help from her recalcitrant neighbor.",Movie,3022,https://occ-0-3467-3466.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABeChqDsqp7eFDpoirMhWugB-f5nanTRcDx6dDIhlJ9kT7oqY4_u7XXhglDCuuFPS2-sT-O1CHtkejLHpSCENF-Ep-A.jpg?r=06a
Rambo: Last Blood,"Action, Thriller","Action Thrillers,Action & Adventure,Crime Movies,Crime Action & Adventure,Gangster Movies","English, Spanish","Czech Republic,Netherlands,Slovakia",1-2 hour,Adrian Grunberg,"Sylvester Stallone, Matthew Cirulnick, Dan Gordon, David Morrell","Sylvester Stallone, Sergio Peris-Mencheta, Adriana Barraza, Paz Vega",R,6.1,4,8,"$4,48,19,352",20-Sep-19,16-04-2020,,https://www.netflix.com/watch/81089935,"As damaged war veteran John Rambo seeks a tranquil life, the disappearance of his adopted granddaughter unleashes his raw fury for one final mission.",Movie,83109,https://occ-0-768-769.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABXDfnGtP5rsjseaOqHY8fViLuVgresmc40-tCzJYq3jAJAFyNVGBkIMC9fUROBpnQ28VHFwt3LqSlLiwJ8yciL365w.jpg?r=cd5
The Innocence Files,"Documentary, Crime","Social & Cultural Docs,Docuseries,True Crime Documentaries,US TV Shows,Crime Documentaries",English,"Lithuania,Spain,United Kingdom,United States,Japan,Australia,Netherlands,South Korea,Sweden,Poland,Russia,Hong Kong,Germany,Hungary,India,Slovakia,Mexico,Romania,Thailand,Singapore,Czech Republic,Belgium,Switzerland,South Africa,Portugal,Greece,Israel,Italy,Iceland,Turkey,France,Canada,Brazil,Argentina,Malaysia,Colombia",< 30 minutes,,,"Michael West, Gary Wells, Barry Scheck, Peter Neufeld",TV-MA,8,,,,15-Apr-20,15-04-2020,,https://www.netflix.com/watch/80214563,"The Innocence Project unravels missteps and deceit in a series of wrongful convictions, exposing the injustice inflicted on victims and the accused.",Series,2048,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABdi0FfSuOUMFLu9YAC2n6q8DrHEncdk5l1YUD46xaQY_jIF1sz1WN_cRQkvWHBL1jnUJdOIUv3N5RRSlRmmDorJHsMuAxS0OfJFyUaNPGENgfdx5Xjs8E4pLQHA.jpg?r=2b5
Outer Banks,"Action, Crime, Drama, Mystery, Romance, Thriller","US TV Shows,Teen TV Shows,TV Dramas,TV Action & Adventure",English,"Slovakia,Lithuania,India,Spain,United Kingdom,United States,Australia,Netherlands,Russia,Japan,South Korea,Hong Kong,Sweden,Poland,Hungary,Germany,Mexico,Thailand,Singapore,Romania,South Africa,Czech Republic,Switzerland,Belgium,Portugal,Greece,Israel,Italy,Iceland,Turkey,France,Canada,Brazil,Argentina,Malaysia,Colombia",< 30 minutes,,"Shannon Burke, Josh Pate, Jonas Pate","Chase Stokes, Madelyn Cline, Madison Bailey, Jonathan Daviss",TV-MA,7.6,1,3,,15-Apr-20,15-04-2020,,https://www.netflix.com/watch/80236318,"On an island of haves and have-nots, teen John B enlists his three best friends to hunt for a legendary treasure linked to his fathers disappearance.",Series,19144,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSmjO73yZPaZH1OGyY1oQOT91snh1NRx1xVUUT10Cd3-dlF8pe1fXIq35Dr_wpjuF45qnuY9E6zQTHQRuPcyIRbeUuBwQV_tSe69H4wrD_uqYUHMzeAQK1NN_as.jpg?r=627
Big Girls Dont Cry,Drama,"German Dramas,Dramas,German Movies,Teen Movies",German,"Switzerland,Germany",1-2 hour,Maria von Heland,Maria von Heland,"Karoline Herfurth, David Winter, Anna Maria Mühe, Josefine Domes",R,6.9,,2,"$1,238",24-Oct-02,15-04-2020,Deutsche Columbia Pictures Film Prod.,https://www.netflix.com/watch/60030191,"Seventeen-year-olds Kati and Steffi are best friends. But while Steffi has a great boyfriend and a loving home, Kati is lovelorn amid her familys incessant squabbling -- but the tables are about to turn.",Movie,1598,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSWb3y43mMz9vl3DadSELsOCTcEO1D2nLebahus7nzpdMuDyDj5BBKKKyHuO6m63MwsaIk0u53lLWrq6kaTsYiBgtQ.jpg?r=d1d
Saru Lock,"Comedy, Drama","TV Action & Adventure,Japanese TV Series,TV Comedies",Japanese,Japan,< 30 minutes,,,"Sôsuke Takaoka, Sei Ashina, Hayato Ichihara, Genki Hirakata",,7.8,,,,23-Jul-09,15-04-2020,,https://www.netflix.com/watch/81253399,The arrogant son of a locksmith uses his genius lock-picking skills to solve mysteries and crimes and to get the ladies. Or so he hopes.,Series,18,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABR_IQlGjkaHEuNMhwgOwLRTlecVjQDp2nVbT_ncU2IaMaWQgAiN-mcbdxzAhqRfl00YDGYEVb8_lec07vVmQ3LC8Pw.jpg?r=26b
LeapFrog: Letter Factory,"Animation, Short, Family","Children & Family Movies,Education for Kids",,"Australia,South Africa,United Kingdom,Canada,United States",30-60 mins,Craig George,,"Kira Tozer, Michael Daingerfield",TV-Y,6.8,,,,01-Sep-14,15-04-2020,,https://www.netflix.com/watch/60032588,"In this entertaining installment of the wildly popular early-learning series, Professor Quigley, Leap, Lily and Tad arrive at the magical Letter Factory, where jumbles of sounds are miraculously shaped into letters.",Movie,5,http://occ-0-1091-300.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABWb1R4eW6OHDPZAIFxTmUU5BJY-Nr9e55D_pET05lvXAt2JKhuz5FFmy8KI1WanCIzfWnw1mHrk6eI4Fo1WyVPTOCg.jpg?r=86a
For the Broken Hearted,Drama,"Romantic Dramas,Romantic Movies,Teen Movies,Filipino Movies,Dramas,Movies Based on Books,International Dramas","Filipino, Tagalog","Australia,Japan,Hong Kong,Poland,Sweden,India,Hungary,Slovakia,Russia,Germany,Lithuania,Spain,United Kingdom,Mexico,Singapore,Thailand,Romania,South Africa,Switzerland,Czech Republic,Belgium,Portugal,Greece,Iceland,Turkey,France,Argentina,Canada,United States,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia",1-2 hour,Digo Ricio,"Marcelo Santos III, Rinka Sycip","Louise de los Reyes, Marco Gumabao, Sam Concepcion, Yassi Pressman",,6.8,,1,,03-Oct-18,15-04-2020,,https://www.netflix.com/watch/81245830,"In three interwoven stories, love ends up in limbo as romantic partners navigate bliss, loss, failures and feelings while trying to make happiness last.",Movie,80,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABWz1QOTRlBZA53CqoAPJOq3eYGVA5kpTAnwFcyCo-26BnePmLQvs6bd2_nbmkKKw4arhN_EYXOVYQMer0M-eUoarGw.jpg?r=f55
Door Lock,Thriller,"Korean Movies,Crime Thrillers,Thriller Movies",Korean,South Korea,1-2 hour,Kwon Lee,"Park Jung-Hee, Alberto Marini, Kwon Lee","Seong-oh Kim, Hyo-Jin Kong, Kim Ye-Won, Hong Nae Lee",,6.3,1,,,05-Dec-18,14-04-2020,Fiona Films,https://www.netflix.com/watch/81107693,A bank employee with a stressful work life comes home to find something suspicious about her door lock.,Movie,1700,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABaMk3vyyC5QSfdTJwjhbz6Bmpq2MGQL8GsZ5AClaVu8jP49JQpyxOMjzFIc6QWrFXiCOjJP8xSxIvs7P70-475-N-A.jpg?r=95b
Surviving R. Kelly Part II: The Reckoning,"Documentary, Crime","Biographical Documentaries,True Crime Documentaries,Hip-Hop,Docuseries",,United States,< 30 minutes,,,"Candice Norcott, Jody Adewale, Jim DeRogatis, Gerald Griggs",TV-14,7.6,,,,02-Jan-20,13-04-2020,,https://www.netflix.com/watch/81269343,"As more women come forward with harrowing accusations against R. Kelly, his criminal case gains momentum in this follow-up to the powerful docuseries.",Series,372,https://occ-0-2219-2218.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABdCLOH1oK_3k7GJDW4VZaoeVrCWB4y7mA1z-yScZSO0vF-m_V3rb_q7amFF1WfQBXIJCbB2yQRPjJ7sGXH40-onlkg.jpg?r=7ac
The Millionaire Detective - Balance: UNLIMITED,"Animation, Crime, Drama","TV Shows Based on Books,Anime Series,Action Anime",Japanese,"Japan,Hong Kong,Thailand,Singapore,India,Malaysia",< 30 minutes,,,"Yûsuke Ohnuki, Maaya Sakamoto, Kazuyuki Okitsu, Mamoru Miyano",TV-14,7.3,,2,,10-Apr-20,13-04-2020,,https://www.netflix.com/watch/81039113,"Millionaire detective Daisuke Kanbe and his ornery partner solve crimes by unconventional means after Kato joins a new, problematic police unit.",Series,632,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABTeNBVyGCRe5Pb4r9J03bfg9IjMXuhqHpcwHYoqLXMOVBE_VHxU4C67DkFkU5bt2X-6daWmHmnFbRX8LNSL4lff2AUHggA_oBlC_NDMAcl_T5Dt57cafIoXS4HmfZnqo8XVTeXB94C8.jpg?r=55d
Little,"Comedy, Fantasy, Romance","Comedies,US Movies",English,"South Korea,Russia,Sweden,Australia,Greece,Israel,Lithuania",1-2 hour,Tina Gordon,"Tina Gordon, Tracy Oliver","Regina Hall, Justin Hartley, Marsai Martin, Issa Rae",PG-13,5.5,3,6,"$4,08,60,481",12-Apr-19,12-04-2020,Will Packer Productions,https://www.netflix.com/watch/81037693,"When a nightmarish boss is transformed into her teen self, she’s forced to go back to school, while her long-suffering assistant has to run the company.",Movie,11000,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVQqXEXPTJV6H9tCskfOcRmd3E24sh4ywcreNJyRav-vBz3EHZAKDuZ-2DzMFykRKu_hPCrY9MxlwwPJ49vz3Qx0ug.jpg?r=f6a
Morgen,Drama,"Independent Movies,Dramas,Social Issue Dramas","Romanian, Hungarian",Romania,1-2 hour,Marian Crisan,Marian Crisan,"Dorin C. Zachei, Elvira Rimbu, Yilmaz Yalçin, András Hatházi",,7,12,13,,01-Oct-10,11-04-2020,,https://www.netflix.com/watch/70155508,"In a tiny town on the Romanian-Hungarian border, supermarket security guard Nelu has his life turned upside down when he goes fishing one morning and lands an unusual catch: a strange but harmless Turkish man, Behran, trying to cross to freedom.",Movie,974,http://occ-0-3467-3466.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABfFxjG14vKAIlJBE_JZnC6GeOvb5HsyoOlI8YQ46E1uKKlrefYaAaSPJ9h6c2clPOT4WRwHKoeTlfdcvi7Tvb3VA1w.jpg?r=906
Code 8,"Action, Crime, Drama, Sci-Fi, Thriller","Independent Movies,Independent Action & Adventure,Sci-Fi & Fantasy,Canadian Movies,Action & Adventure,Crime Action & Adventure,Action Sci-Fi & Fantasy,Crime Movies,Sci-Fi,Action Movies",English,"Greece,Romania,Australia,Czech Republic,South Korea,South Africa,Poland,Sweden,Hungary,Iceland,Portugal,Argentina,Turkey,Mexico,Belgium,United Kingdom,Spain,France,United States,Slovakia,Brazil,Netherlands,Italy,Israel,Colombia",1-2 hour,Jeff Chan,"Chris Pare, Jeff Chan","Penny Eizenga, Kari Matchett, Lawrence Bayne, Robbie Amell",NotRated,6.1,,,,13-Dec-19,10-04-2020,,https://www.netflix.com/watch/81194641,"In a city where super-powered people are ostracized, an earnest day laborer considers using his outlawed abilities for money to save his sick mother.",Movie,33994,https://occ-0-1490-1489.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABc_1nz7i0UpmMcK4XG0CkU7F-BfqIiHbLVuOg4_6NN5aWKqYgWqu0E4Dowrf64a6Jg3UE2MY6O6XBH2PDO9z1OOFvw.jpg?r=179
Gemini,"Crime, Drama, Mystery, Thriller","Crime Thrillers,Mysteries,Thriller Movies,Crime Films",English,"Canada,Australia",1-2 hour,Aaron Katz,Aaron Katz,"Greta Lee, Zoë Kravitz, John Cho, Lola Kirke",R,5.4,1,5,"$2,00,340",30-Mar-18,10-04-2020,"Syncopated Films, Rough House Pictures",https://www.netflix.com/watch/81086886,"A personal assistant suspected in a lethal crime involving her employer, a Hollywood starlet, goes on an investigation of her own to clear her name.",Movie,4557,https://occ-0-531-2705.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABdDDwlUQvWsO1UPJ8_6dApqqverE1JhpuHOqlJoQAlBvH2FP49uUWFtCdHkm1hh4XAPJKFIo0_WP65wSy-ExbzCl5Q.jpg?r=8b2
Tigertail,Drama,Dramas,"English, Min Nan, Mandarin","Mexico,Spain,Italy,Portugal,Iceland,Canada,Argentina,Turkey,Singapore,United States,United Kingdom,Thailand,France,Belgium,Switzerland,Romania,South Africa,Greece,Australia,Russia,Japan,Israel,South Korea,Czech Republic,Poland,Hong Kong,Netherlands,Sweden,India,Hungary,Slovakia,Germany,Lithuania,Brazil,Malaysia,Colombia",1-2 hour,Alan Yang,Alan Yang,"Christine Ko, Tzi Ma, Queenie Yu-Hsin Fang, Hong-Chi Lee",PG,6.5,,,,10-Apr-20,10-04-2020,,https://www.netflix.com/watch/80202958,A man reflects on the lost love of his youth and his long-ago journey from Taiwan to America as he begins to reconnect with his estranged daughter.,Movie,3043,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABfYmQMuuA6xeRTQvMEuBGrCOFhH4_mtkhlSkdg_dmJNxE4OD0oURwvcTRbV5vIdmNxat0hzWerWJTUizbdyq6AjDC2wGSoaVwRf0cpDdPpzCtliiBA4riqn5dSQ.jpg?r=357
